[2025-05-29 13:38:22,094] 24 root - INFO - \u062c\u0627\u0631\u064a \u062a\u0647\u064a\u0626\u0629 Medical Chatbot
[2025-05-29 13:39:12,197] 219 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[2025-05-29 13:39:17,317] 76 root - INFO - Loading existing Chroma database
[2025-05-29 13:39:17,521] 22 chromadb.telemetry.product.posthog - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[2025-05-29 13:39:18,156] 40 root - INFO - \u062a\u0645 \u062a\u0647\u064a\u0626\u0629 \u0627\u0644\u0634\u0627\u062a \u0628\u0648\u062a \u0628\u0646\u062c\u0627\u062d
[2025-05-29 13:39:18,464] 97 werkzeug - WARNING -  * Debugger is active!
[2025-05-29 13:39:18,510] 97 werkzeug - INFO -  * Debugger PIN: 877-680-168
[2025-05-29 13:39:19,571] 97 werkzeug - INFO - 127.0.0.1 - - [29/May/2025 13:39:19] "POST /ask HTTP/1.1" 200 -
[2025-05-29 13:39:19,575] 97 werkzeug - INFO - 127.0.0.1 - - [29/May/2025 13:39:19] "POST /ask HTTP/1.1" 200 -
